frame_idx,nombre_archivo,brisque_orig,brisque_sin_hud,niqe_orig,niqe_sin_hud,sigma_orig,sigma_sin_hud,var_lap_orig,var_lap_sin_hud,brisque_denoised,niqe_denoised,sigma_denoised,var_lap_denoised
1,frame_00001.png,29.87,19.29,3.81,3.314,5.9303,5.9303,1461.9,482.95,17.83,3.814,5.9303,481.72
31,frame_00031.png,26.09,16.62,3.047,3.129,10.3781,7.4129,1535.39,514.37,17.08,3.883,7.4129,504.96
61,frame_00061.png,24.98,13.31,3.027,3.044,10.3781,7.4129,1561.14,515.85,15.18,3.896,7.4129,506.34
91,frame_00091.png,25.67,13.44,3.569,3.063,8.8955,7.4129,1541.77,504.64,14.84,3.842,7.4129,497.89
121,frame_00121.png,23.17,12.47,3.002,2.995,10.3781,7.4129,1562.33,515.07,13.49,3.836,7.4129,505.44
151,frame_00151.png,25.21,14.34,3.548,3.141,7.4129,7.4129,1528.62,486.64,14.44,3.702,7.4129,480.91
181,frame_00181.png,23.18,14.3,3.244,3.138,10.3781,7.4129,1613.81,520.33,14.96,3.836,7.4129,513.22
211,frame_00211.png,26.99,17.11,4.19,3.354,7.4129,5.9303,1468.68,498.82,10.78,4.827,5.9303,491.17
241,frame_00241.png,24.82,11.98,3.549,3.332,8.8955,5.9303,1523.58,500.47,10.33,4.336,5.9303,494.24
271,frame_00271.png,23.97,13.05,3.747,3.345,7.4129,5.9303,1547.41,531.84,10.96,3.976,5.9303,524.74
301,frame_00301.png,21.3,9.2,3.261,3.125,10.3781,7.4129,1529.8,537.51,10.53,3.967,7.4129,526.79
331,frame_00331.png,19.68,8.08,3.424,3.42,8.8955,5.9303,1470.21,496.88,8.11,4.244,7.4129,488.2
361,frame_00361.png,20.16,8.12,3.268,3.049,10.3781,7.4129,1468.65,499.44,9.79,3.878,7.4129,490.38
391,frame_00391.png,21.33,8.03,3.301,3.225,10.3781,7.4129,1527.39,512.8,10.72,3.946,7.4129,503.59
421,frame_00421.png,24.06,11.9,4.204,3.379,7.4129,5.9303,1542.14,476.81,5.53,5.399,5.9303,470.02
451,frame_00451.png,23.45,10.03,3.87,3.458,8.8955,5.9303,1529.92,474.92,11.38,4.238,5.9303,469.77
481,frame_00481.png,24.23,11.87,4.294,3.287,7.4129,5.9303,1560.63,494.78,11.23,4.073,5.9303,487.98
