frame_idx,nombre_archivo,mae_hud,mae_termico,sobel_energia,var_lap_sin_hud,var_lap_denoised,sigma_orig,sigma_sin_hud,sigma_denoised
1,frame_65012.png,4.7413,5.6311,77.418,1030.83,541.07,10.3781,8.8955,10.3781
2,frame_65013.png,5.4085,12.6765,99.235,1550.77,437.49,17.791,14.8258,10.3781
3,frame_65014.png,5.4765,12.1809,99.364,1614.76,360.48,17.791,14.8258,10.3781
4,frame_65015.png,5.4122,12.0412,100.293,1625.52,318.15,17.791,14.8258,8.8955
5,frame_65016.png,4.682,10.0026,75.927,989.38,323.29,10.3781,8.8955,8.8955
6,frame_65017.png,4.6714,10.5871,78.755,1003.4,329.26,11.8606,10.3781,10.3781
7,frame_65018.png,4.6583,10.4317,77.599,984.02,330.37,11.8606,10.3781,10.3781
8,frame_65019.png,5.3793,12.1617,98.413,1547.68,323.3,17.791,14.8258,8.8955
9,frame_65020.png,5.5679,12.6792,105.432,1776.89,325.82,19.2735,17.791,8.8955
10,frame_65021.png,5.4339,12.3435,100.436,1675.42,339.89,17.791,14.8258,10.3781
11,frame_65022.png,4.6506,10.5167,75.606,1000.82,366.35,10.3781,8.8955,10.3781
12,frame_65023.png,4.7783,11.6549,81.81,1069.34,384.21,13.3432,10.3781,10.3781
13,frame_65024.png,4.6185,10.1302,71.694,1532.43,392.32,11.8606,10.3781,11.8606
14,frame_65025.png,5.4992,11.1134,90.918,2440.7,398.01,22.2387,19.2735,11.8606
15,frame_65026.png,5.4228,10.4969,89.573,2420.43,408.73,19.2735,17.791,11.8606
16,frame_65027.png,5.375,10.4717,90.072,2455.84,418.0,20.7561,17.791,11.8606
17,frame_65028.png,4.4772,8.7235,67.706,1440.11,440.3,10.3781,8.8955,11.8606
18,frame_65029.png,4.7904,9.1188,76.207,1669.91,458.62,14.8258,13.3432,13.3432
19,frame_65030.png,4.609,8.7638,71.206,1507.44,476.79,13.3432,11.8606,13.3432
20,frame_65031.png,5.8459,11.5997,97.489,2884.6,467.78,28.169,23.7213,13.3432
21,frame_65032.png,5.8999,11.5058,99.443,3082.96,473.26,26.6864,22.2387,13.3432
22,frame_65033.png,5.8789,11.3677,97.345,3051.67,487.49,23.7213,20.7561,13.3432
23,frame_65034.png,4.8171,9.2644,73.355,1728.24,474.32,11.8606,10.3781,13.3432
24,frame_65035.png,4.9018,10.5643,78.183,1797.26,425.94,16.3084,13.3432,11.8606
25,frame_65036.png,5.6452,15.0846,94.476,2676.44,393.44,25.2039,20.7561,11.8606
26,frame_65037.png,4.3935,9.541,65.837,1429.77,328.38,8.8955,8.8955,8.8955
27,frame_65038.png,4.0273,10.4583,52.661,1051.41,370.86,5.9303,4.4477,11.8606
28,frame_65039.png,4.9204,27.4699,62.58,1500.83,382.79,7.4129,7.4129,11.8606
29,frame_65040.png,3.5461,50.1212,42.37,707.86,374.08,4.4477,4.4477,11.8606
30,frame_65041.png,6.1269,20.0253,110.731,3973.53,381.68,48.9251,38.5471,11.8606
31,frame_65042.png,6.9808,62.1007,78.723,1964.78,425.88,11.8606,10.3781,11.8606
32,frame_65043.png,7.8825,25.0486,88.659,2574.73,424.45,20.7561,16.3084,13.3432
33,frame_65044.png,7.0368,13.4964,76.319,1833.95,442.25,13.3432,11.8606,13.3432
34,frame_65045.png,6.9813,13.8867,75.88,1732.64,387.63,16.3084,13.3432,10.3781
35,frame_65046.png,6.3872,7.9249,65.17,1186.31,368.47,11.8606,10.3781,10.3781
36,frame_65047.png,6.3881,7.4253,66.762,1209.77,351.51,13.3432,11.8606,10.3781
37,frame_65048.png,6.1348,7.0234,63.665,1081.35,353.02,11.8606,10.3781,10.3781
38,frame_65049.png,6.6451,7.6505,70.717,1343.73,350.97,16.3084,13.3432,10.3781
39,frame_65050.png,6.8449,8.2498,75.48,1592.7,362.0,17.791,14.8258,10.3781
40,frame_65051.png,7.4055,8.5563,78.158,1682.19,366.93,17.791,16.3084,10.3781
41,frame_65052.png,6.7268,7.164,67.456,1244.12,387.16,11.8606,11.8606,10.3781
42,frame_65053.png,6.7071,7.1045,68.415,1231.82,409.74,13.3432,11.8606,11.8606
43,frame_65054.png,6.4775,7.1327,65.429,1117.13,427.06,13.3432,11.8606,11.8606
44,frame_65055.png,7.3798,8.3936,79.697,1767.23,427.14,20.7561,17.791,11.8606
45,frame_65056.png,7.903,9.1516,85.82,2119.11,424.49,23.7213,20.7561,11.8606
46,frame_65057.png,7.5139,8.9233,81.948,1921.82,425.28,19.2735,16.3084,11.8606
47,frame_65058.png,6.6281,7.2214,68.439,1309.03,441.84,11.8606,11.8606,11.8606
48,frame_65059.png,6.6874,7.5089,69.082,1231.01,442.07,13.3432,11.8606,11.8606
49,frame_65060.png,6.815,7.6626,72.055,1350.12,430.86,16.3084,14.8258,11.8606
50,frame_65061.png,7.7982,8.8814,83.941,1927.43,413.64,22.2387,19.2735,11.8606
51,frame_65062.png,7.3314,8.6823,82.236,1893.48,408.5,19.2735,17.791,11.8606
52,frame_65063.png,7.0966,8.9098,80.071,1797.06,410.96,17.791,16.3084,11.8606
53,frame_65064.png,6.2939,7.4904,67.655,1252.77,422.32,11.8606,11.8606,11.8606
54,frame_65065.png,6.3901,7.6805,68.585,1211.88,412.85,13.3432,11.8606,11.8606
55,frame_65066.png,6.7031,7.9232,71.69,1337.76,411.62,16.3084,14.8258,11.8606
56,frame_65067.png,7.4329,8.8447,83.576,1935.96,398.99,22.2387,19.2735,11.8606
57,frame_65068.png,7.183,8.9717,81.781,1860.29,414.87,19.2735,17.791,13.3432
58,frame_65069.png,7.1024,8.9601,80.81,1829.19,409.32,17.791,16.3084,13.3432
59,frame_65070.png,6.1728,8.1378,68.614,1256.24,394.9,13.3432,11.8606,11.8606
60,frame_65071.png,7.8176,10.9847,95.44,2833.3,387.75,32.6168,26.6864,11.8606
61,frame_65072.png,6.0954,7.7333,67.982,1330.08,362.81,11.8606,10.3781,11.8606
62,frame_65073.png,6.4243,8.0179,73.644,1483.74,361.59,16.3084,14.8258,11.8606
63,frame_65074.png,6.6992,8.6265,77.883,1652.84,386.56,19.2735,16.3084,11.8606
64,frame_65075.png,5.9859,7.4007,67.303,1223.11,349.83,13.3432,11.8606,11.8606
65,frame_65076.png,6.467,8.1969,75.235,1521.13,361.4,17.791,14.8258,11.8606
66,frame_65077.png,6.6742,8.3653,78.134,1682.85,369.12,17.791,16.3084,11.8606
67,frame_65078.png,6.2202,7.5849,71.486,1350.6,370.87,14.8258,13.3432,11.8606
68,frame_65079.png,6.5765,8.2551,77.038,1591.18,375.99,17.791,16.3084,11.8606
69,frame_65080.png,6.6804,8.3023,77.783,1675.65,366.5,19.2735,16.3084,11.8606
70,frame_65081.png,6.6944,8.8123,79.587,1757.16,348.78,19.2735,16.3084,11.8606
71,frame_65082.png,5.9466,7.4697,67.259,1222.96,349.65,11.8606,11.8606,11.8606
72,frame_65083.png,6.0245,7.859,68.079,1203.64,362.7,13.3432,11.8606,11.8606
73,frame_65084.png,5.8591,7.3978,65.594,1096.08,382.95,13.3432,11.8606,11.8606
74,frame_65085.png,6.8558,8.6545,80.015,1767.01,373.78,20.7561,17.791,11.8606
75,frame_65086.png,7.1551,9.5056,85.302,2139.63,377.03,23.7213,19.2735,11.8606
76,frame_65087.png,7.3793,9.7845,87.612,2295.95,383.53,25.2039,20.7561,11.8606
77,frame_65088.png,6.079,7.5074,67.428,1274.89,396.01,11.8606,11.8606,11.8606
78,frame_65089.png,6.0588,7.6035,68.564,1235.63,397.45,13.3432,11.8606,11.8606
79,frame_65090.png,6.2542,7.8862,70.58,1338.58,385.78,16.3084,14.8258,11.8606
80,frame_65091.png,6.9375,8.589,81.514,1886.25,362.27,22.2387,19.2735,11.8606
81,frame_65092.png,6.8179,8.6616,80.14,1827.06,373.86,19.2735,17.791,11.8606
82,frame_65093.png,6.6478,8.5113,78.042,1717.96,378.59,17.791,16.3084,11.8606
83,frame_65094.png,5.9675,7.4059,67.821,1233.72,391.62,13.3432,11.8606,11.8606
84,frame_65095.png,6.4117,7.9386,73.894,1451.07,390.45,17.791,14.8258,11.8606
85,frame_65096.png,6.3545,8.1365,72.683,1420.62,383.66,17.791,14.8258,11.8606
86,frame_65097.png,7.1093,8.9968,83.147,1951.98,372.67,23.7213,19.2735,11.8606
87,frame_65098.png,6.7141,8.9755,80.083,1826.43,395.29,19.2735,16.3084,13.3432
88,frame_65099.png,6.7075,8.9509,79.245,1774.76,382.76,19.2735,16.3084,11.8606
89,frame_65100.png,5.9506,7.9076,67.884,1239.8,375.24,13.3432,11.8606,11.8606
90,frame_65101.png,7.7774,10.6768,94.323,2754.26,371.1,32.6168,25.2039,11.8606
91,frame_65102.png,6.0146,7.7347,67.165,1293.77,362.69,11.8606,10.3781,11.8606
92,frame_65103.png,6.4415,8.2412,73.766,1504.02,356.02,16.3084,14.8258,11.8606
93,frame_65104.png,6.6424,8.4788,77.269,1665.44,369.45,17.791,16.3084,11.8606
94,frame_65105.png,6.6929,8.4989,77.511,1682.63,351.36,19.2735,16.3084,11.8606
95,frame_65106.png,6.014,7.1462,66.573,1198.32,354.6,13.3432,11.8606,11.8606
96,frame_65107.png,6.0168,7.368,68.707,1213.36,349.25,14.8258,13.3432,11.8606
97,frame_65108.png,6.8984,8.8271,81.54,1844.21,352.8,22.2387,19.2735,11.8606
98,frame_65109.png,6.3486,8.0436,74.473,1537.59,341.11,17.791,14.8258,11.8606
99,frame_65110.png,6.0874,7.6515,70.113,1285.96,345.91,14.8258,13.3432,11.8606
100,frame_65111.png,6.9099,8.8828,82.26,1923.43,359.29,22.2387,19.2735,11.8606
101,frame_65112.png,5.9939,7.5089,68.101,1264.89,356.18,13.3432,11.8606,11.8606
102,frame_65113.png,6.3674,8.0652,74.71,1476.35,368.45,17.791,14.8258,11.8606
103,frame_65114.png,6.3439,8.0061,73.512,1444.77,385.33,17.791,14.8258,11.8606
104,frame_65115.png,7.0884,9.0882,83.391,1949.35,367.84,23.7213,19.2735,11.8606
105,frame_65116.png,6.7473,8.8063,79.314,1814.34,366.35,17.791,16.3084,11.8606
106,frame_65117.png,6.7187,8.946,79.624,1782.31,358.01,19.2735,16.3084,11.8606
107,frame_65118.png,5.9481,7.6661,67.32,1224.8,358.95,13.3432,11.8606,11.8606
108,frame_65119.png,6.4212,8.3391,74.219,1478.48,365.32,17.791,14.8258,11.8606
109,frame_65120.png,5.949,7.792,67.386,1196.6,357.51,13.3432,11.8606,11.8606
110,frame_65121.png,6.7276,8.7261,79.538,1783.18,344.35,22.2387,17.791,11.8606
111,frame_65122.png,7.236,9.5769,86.138,2175.77,351.96,25.2039,20.7561,11.8606
112,frame_65123.png,6.7621,9.0226,79.354,1830.11,348.93,17.791,16.3084,11.8606
113,frame_65124.png,5.8747,7.748,65.893,1193.4,363.88,11.8606,10.3781,11.8606
114,frame_65125.png,6.2892,8.3375,72.593,1412.12,359.91,17.791,14.8258,11.8606
115,frame_65126.png,6.155,8.104,70.874,1392.96,348.38,17.791,14.8258,11.8606
116,frame_65127.png,6.9647,9.4811,81.83,1919.5,329.76,23.7213,19.2735,11.8606
117,frame_65128.png,6.6866,9.7955,78.299,1781.97,353.01,17.791,16.3084,11.8606
118,frame_65129.png,6.6294,9.6996,77.242,1716.5,344.69,17.791,16.3084,11.8606
119,frame_65130.png,5.8243,9.2461,66.022,1190.34,335.22,11.8606,10.3781,11.8606
120,frame_65131.png,7.694,11.5494,92.379,2755.1,339.76,32.6168,25.2039,11.8606
121,frame_65132.png,5.9678,8.6564,67.487,1314.4,334.89,11.8606,10.3781,11.8606
122,frame_65133.png,6.355,8.7523,73.14,1464.6,333.93,16.3084,13.3432,11.8606
123,frame_65134.png,6.5524,8.9423,78.564,1734.02,351.44,17.791,16.3084,11.8606
124,frame_65135.png,6.6594,9.2114,78.647,1742.4,336.57,19.2735,16.3084,11.8606
125,frame_65136.png,5.937,7.5418,67.459,1224.95,339.9,13.3432,11.8606,11.8606
126,frame_65137.png,6.0631,7.6569,68.955,1237.71,339.25,14.8258,13.3432,11.8606
127,frame_65138.png,6.9148,8.7733,81.245,1848.86,342.78,22.2387,19.2735,11.8606
128,frame_65139.png,5.9463,7.4737,68.871,1297.36,328.11,13.3432,11.8606,10.3781
129,frame_65140.png,6.3414,8.2177,74.587,1479.36,333.41,17.791,14.8258,11.8606
130,frame_65141.png,6.5268,8.6372,77.903,1672.01,336.28,19.2735,16.3084,11.8606
131,frame_65142.png,5.8654,7.8014,66.997,1205.62,328.21,13.3432,11.8606,11.8606
132,frame_65143.png,6.3951,8.5219,73.52,1458.55,338.43,17.791,14.8258,11.8606
133,frame_65144.png,6.3257,8.5819,73.159,1450.96,350.26,17.791,14.8258,11.8606
134,frame_65145.png,6.9884,9.2952,83.341,1996.77,345.99,23.7213,19.2735,11.8606
135,frame_65146.png,6.73,9.2265,79.047,1799.13,347.54,19.2735,16.3084,11.8606
136,frame_65147.png,6.7285,8.897,78.967,1765.88,349.16,19.2735,16.3084,11.8606
137,frame_65148.png,5.957,7.5974,67.653,1239.4,354.62,13.3432,11.8606,11.8606
138,frame_65149.png,6.0223,8.0395,68.364,1210.61,361.63,13.3432,11.8606,11.8606
139,frame_65150.png,6.197,8.0934,70.017,1315.5,365.22,16.3084,13.3432,11.8606
140,frame_65151.png,6.8949,8.8181,80.487,1847.2,352.43,22.2387,17.791,11.8606
141,frame_65152.png,7.4004,10.0642,87.274,2277.52,348.5,25.2039,20.7561,11.8606
142,frame_65153.png,6.8494,9.4356,80.843,1865.59,343.88,19.2735,16.3084,11.8606
143,frame_65154.png,5.9754,8.3968,66.8,1220.81,351.02,11.8606,11.8606,11.8606
144,frame_65155.png,6.0278,9.3566,66.735,1178.25,347.59,13.3432,11.8606,11.8606
145,frame_65156.png,6.0954,9.5939,68.736,1288.37,332.23,16.3084,13.3432,11.8606
146,frame_65157.png,6.9004,10.7317,81.862,1916.28,318.95,22.2387,19.2735,11.8606
147,frame_65158.png,7.2234,11.6545,86.048,2243.51,347.51,23.7213,19.2735,11.8606
148,frame_65159.png,6.7432,11.0833,80.588,1919.86,348.33,19.2735,16.3084,11.8606
149,frame_65160.png,5.8836,9.6551,65.052,1209.56,349.17,11.8606,10.3781,11.8606
150,frame_65161.png,7.7635,12.7816,94.254,2772.19,346.83,32.6168,25.2039,11.8606
151,frame_65162.png,5.8254,9.871,66.05,1262.36,332.36,10.3781,10.3781,11.8606
152,frame_65163.png,6.2695,10.0518,73.043,1466.12,318.35,14.8258,13.3432,11.8606
153,frame_65164.png,6.5388,10.627,77.858,1702.22,325.02,17.791,14.8258,11.8606
154,frame_65165.png,6.5235,10.5681,77.443,1697.44,297.2,17.791,14.8258,10.3781
155,frame_65166.png,5.7985,9.5106,65.198,1172.01,301.07,11.8606,10.3781,10.3781
156,frame_65167.png,5.92,9.7019,65.989,1166.56,307.63,13.3432,11.8606,10.3781
157,frame_65168.png,5.75,9.498,63.532,1071.48,298.75,11.8606,10.3781,10.3781
158,frame_65169.png,6.8495,11.0585,79.873,1763.73,299.16,20.7561,17.791,10.3781
159,frame_65170.png,6.6983,10.7471,77.306,1737.77,308.6,17.791,14.8258,10.3781
160,frame_65171.png,6.1155,9.7352,69.28,1339.24,306.03,13.3432,11.8606,10.3781
161,frame_65172.png,6.6178,10.2198,75.905,1585.57,316.88,17.791,14.8258,10.3781
162,frame_65173.png,6.6724,10.1298,77.857,1705.71,318.45,17.791,16.3084,10.3781
163,frame_65174.png,5.9285,9.0869,67.473,1231.62,318.12,13.3432,11.8606,10.3781
164,frame_65175.png,6.4262,9.7004,75.022,1508.6,319.92,16.3084,14.8258,10.3781
165,frame_65176.png,6.669,9.7776,78.125,1681.15,314.45,19.2735,16.3084,10.3781
166,frame_65177.png,6.7147,10.1815,79.166,1745.4,310.78,17.791,16.3084,10.3781
167,frame_65178.png,5.89,9.3789,68.206,1243.19,324.23,11.8606,11.8606,10.3781
168,frame_65179.png,5.9592,9.8073,69.788,1289.34,328.26,13.3432,11.8606,11.8606
169,frame_65180.png,6.1087,10.2412,70.78,1371.15,331.08,16.3084,13.3432,11.8606
170,frame_65181.png,6.9453,11.4529,82.801,1969.41,323.39,22.2387,19.2735,10.3781
171,frame_65182.png,6.7036,11.0703,78.254,1766.92,324.12,17.791,14.8258,10.3781
172,frame_65183.png,6.6926,11.5032,79.665,1833.19,328.94,17.791,14.8258,10.3781
173,frame_65184.png,5.8412,10.4132,66.335,1222.07,347.56,11.8606,10.3781,11.8606
174,frame_65185.png,5.839,10.8146,67.69,1232.59,350.4,13.3432,11.8606,11.8606
175,frame_65186.png,6.0694,11.1469,70.173,1375.32,359.27,14.8258,13.3432,11.8606
176,frame_65187.png,7.0324,12.2673,84.734,2137.46,349.64,22.2387,19.2735,11.8606
177,frame_65188.png,6.7762,12.3285,82.321,2037.63,386.61,17.791,16.3084,11.8606
178,frame_65189.png,6.6438,12.9084,80.853,1958.21,391.54,16.3084,14.8258,11.8606
179,frame_65190.png,5.7679,11.4216,65.702,1248.95,395.0,10.3781,10.3781,13.3432
180,frame_65191.png,7.7823,14.1387,98.268,3053.18,396.86,34.0993,26.6864,11.8606
181,frame_65192.png,5.9864,11.1961,67.749,1379.99,396.24,10.3781,10.3781,11.8606
182,frame_65193.png,6.5173,11.5698,76.826,1709.63,384.21,16.3084,14.8258,11.8606
183,frame_65194.png,6.8003,11.645,79.181,1880.32,390.39,16.3084,14.8258,11.8606
184,frame_65195.png,6.8347,11.7586,82.987,2059.16,355.28,17.791,16.3084,10.3781
185,frame_65196.png,5.7623,9.9972,64.386,1172.32,349.4,10.3781,8.8955,10.3781
186,frame_65197.png,6.0087,10.1973,69.928,1345.85,339.09,13.3432,11.8606,10.3781
187,frame_65198.png,6.6227,10.5136,78.672,1720.11,334.11,17.791,14.8258,10.3781
188,frame_65199.png,6.1294,9.5779,69.4,1332.94,317.09,11.8606,10.3781,10.3781
189,frame_65200.png,6.282,9.8179,72.54,1405.09,318.69,14.8258,11.8606,10.3781
190,frame_65201.png,6.7467,10.2076,79.622,1819.27,321.76,17.791,14.8258,10.3781
191,frame_65202.png,6.1023,9.4598,69.937,1361.56,322.18,13.3432,11.8606,10.3781
192,frame_65203.png,6.2022,9.4304,73.099,1404.64,339.54,14.8258,13.3432,10.3781
193,frame_65204.png,6.0154,9.5638,70.535,1310.87,355.56,13.3432,11.8606,10.3781
194,frame_65205.png,6.6808,9.9027,79.264,1731.47,347.32,17.791,14.8258,10.3781
195,frame_65206.png,7.0265,10.503,83.916,2034.73,355.04,19.2735,16.3084,10.3781
196,frame_65207.png,7.1004,10.8638,83.697,2050.4,356.14,17.791,16.3084,10.3781
197,frame_65208.png,5.9671,8.1462,65.385,1211.05,366.64,10.3781,8.8955,10.3781
198,frame_65209.png,6.1848,8.6863,70.887,1295.46,385.04,13.3432,11.8606,11.8606
199,frame_65210.png,6.1331,8.6006,69.014,1246.39,390.35,13.3432,11.8606,11.8606
200,frame_65211.png,7.272,9.949,86.165,2104.47,385.2,23.7213,19.2735,11.8606
201,frame_65212.png,7.8376,10.6796,91.154,2527.82,397.38,25.2039,20.7561,11.8606
202,frame_65213.png,7.4141,9.8914,86.221,2215.62,399.33,20.7561,17.791,11.8606
203,frame_65214.png,6.4549,8.3743,71.754,1461.1,414.43,13.3432,11.8606,11.8606
204,frame_65215.png,6.4354,8.782,73.545,1430.38,411.8,16.3084,13.3432,11.8606
205,frame_65216.png,6.1416,8.9583,70.188,1314.98,395.19,14.8258,11.8606,11.8606
206,frame_65217.png,7.2181,10.7459,84.904,2075.43,376.19,22.2387,19.2735,11.8606
207,frame_65218.png,7.1125,11.0112,85.54,2203.56,408.91,19.2735,17.791,11.8606
208,frame_65219.png,7.0235,11.4654,83.083,2082.33,409.19,17.791,16.3084,11.8606
