frame_idx,nombre_archivo,brisque_orig,brisque_sin_hud,niqe_orig,niqe_sin_hud,sigma_orig,sigma_sin_hud,var_lap_orig,var_lap_sin_hud
1,frame_000001.png,40.95,55.5,6.65,6.648,2.9652,2.9652,1651.45,656.73
61,frame_000061.png,53.79,55.86,7.211,6.48,2.9652,1.4826,1182.62,557.74
121,frame_000121.png,44.89,52.22,5.642,5.624,2.9652,2.9652,1783.04,714.14
181,frame_000181.png,47.96,51.9,6.037,5.452,2.9652,2.9652,1297.1,635.13
241,frame_000241.png,51.8,54.22,5.906,5.558,2.9652,1.4826,1378.84,654.64
301,frame_000301.png,30.71,41.82,5.382,5.745,2.9652,1.4826,1415.03,496.46
361,frame_000361.png,33.29,42.94,5.602,6.228,1.4826,1.4826,1372.86,480.15
421,frame_000421.png,39.68,47.8,5.553,5.606,2.9652,2.9652,1683.31,635.82
481,frame_000481.png,51.68,59.4,6.978,7.306,1.4826,1.4826,1801.56,708.04
541,frame_000541.png,34.92,45.99,6.061,6.248,1.4826,1.4826,1147.58,349.88
601,frame_000601.png,29.59,41.14,6.037,5.888,2.9652,1.4826,1161.93,351.18
661,frame_000661.png,54.88,62.8,8.735,7.089,1.4826,1.4826,846.43,196.14
721,frame_000721.png,32.56,44.68,6.423,6.336,1.4826,1.4826,1095.26,333.63
781,frame_000781.png,58.09,64.77,10.581,7.559,0.0,1.4826,745.19,219.82
841,frame_000841.png,45.61,55.78,7.567,6.436,1.4826,1.4826,1045.29,324.35
901,frame_000901.png,70.69,81.32,11.696,9.637,0.0,0.0,1248.82,410.88
961,frame_000961.png,59.78,65.69,6.699,7.085,1.4826,1.4826,925.9,376.04
1021,frame_001021.png,51.96,60.39,6.095,6.432,1.4826,1.4826,1627.12,644.66
1081,frame_001081.png,48.94,54.51,6.55,6.131,1.4826,1.4826,1773.1,755.01
1141,frame_001141.png,45.54,54.06,5.432,5.636,1.4826,1.4826,1531.61,571.46
1201,frame_001201.png,36.83,44.7,5.453,5.601,2.9652,2.9652,1668.1,573.07
1261,frame_001261.png,47.67,54.09,5.583,5.287,1.4826,1.4826,1521.77,614.98
1321,frame_001321.png,43.92,49.83,5.256,5.689,1.4826,1.4826,1910.72,656.95
1381,frame_001381.png,47.27,53.54,5.726,5.906,1.4826,1.4826,1961.99,698.05
1441,frame_001441.png,43.88,53.11,5.627,5.87,1.4826,1.4826,1954.39,696.02
1501,frame_001501.png,49.17,58.38,6.012,5.681,1.4826,1.4826,1771.4,703.28
1561,frame_001561.png,38.13,49.99,5.641,5.981,2.9652,1.4826,2172.28,871.08
1621,frame_001621.png,38.2,50.14,6.114,6.265,2.9652,1.4826,2152.85,852.17
1681,frame_001681.png,42.3,52.9,6.03,6.33,1.4826,1.4826,2138.59,847.1
1741,frame_001741.png,46.59,56.56,6.254,6.164,1.4826,1.4826,2112.21,884.21
1801,frame_001801.png,46.78,57.8,6.171,6.417,1.4826,1.4826,2133.35,862.42
1861,frame_001861.png,36.87,47.78,5.223,5.706,2.9652,1.4826,2104.93,864.73
1921,frame_001921.png,34.73,45.03,5.304,6.225,2.9652,1.4826,2154.26,873.19
1981,frame_001981.png,44.21,52.93,6.076,6.557,1.4826,1.4826,1872.96,867.15
2041,frame_002041.png,44.05,49.68,5.674,5.729,2.9652,2.9652,751.64,281.84
2101,frame_002101.png,16.54,15.13,5.451,5.547,7.4129,5.9303,1218.83,394.65
2161,frame_002161.png,67.23,71.0,8.697,7.437,2.9652,2.9652,938.15,451.26
2221,frame_002221.png,33.02,37.58,6.167,5.606,4.4477,4.4477,1102.74,462.48
2281,frame_002281.png,16.23,14.39,5.179,5.403,7.4129,5.9303,1433.31,505.46
2341,frame_002341.png,49.16,55.05,6.195,5.992,2.9652,2.9652,1065.27,422.22
2401,frame_002401.png,15.89,13.43,5.322,5.636,7.4129,5.9303,1437.29,493.1
2461,frame_002461.png,18.12,20.89,6.131,6.236,5.9303,5.9303,1511.58,554.08
2521,frame_002521.png,16.63,17.8,5.723,5.666,5.9303,5.9303,1500.16,558.43
2581,frame_002581.png,17.15,18.93,6.157,5.798,5.9303,5.9303,1550.04,596.73
2641,frame_002641.png,17.1,14.21,5.29,5.257,7.4129,5.9303,1561.73,621.65
2701,frame_002701.png,19.23,23.26,5.635,5.891,5.9303,4.4477,1446.98,528.9
2761,frame_002761.png,21.42,20.23,5.961,5.428,5.9303,5.9303,1389.23,470.62
2821,frame_002821.png,55.7,58.94,7.062,6.353,2.9652,2.9652,1077.32,464.39
2881,frame_002881.png,22.3,22.0,7.076,6.207,5.9303,4.4477,1548.66,569.6
2941,frame_002941.png,24.28,29.8,6.53,6.491,4.4477,4.4477,1411.12,511.8
3001,frame_003001.png,51.35,56.79,7.071,5.827,2.9652,2.9652,940.83,462.11
3061,frame_003061.png,46.54,50.05,7.255,6.283,2.9652,2.9652,1038.88,435.08
3121,frame_003121.png,51.4,54.6,7.489,6.845,1.4826,1.4826,1082.52,458.68
3181,frame_003181.png,30.14,38.77,5.476,6.037,2.9652,2.9652,1527.0,551.49
3241,frame_003241.png,34.62,42.41,5.568,6.171,2.9652,2.9652,1739.62,607.7
3301,frame_003301.png,42.04,48.46,6.356,6.77,2.9652,2.9652,1543.14,529.1
3361,frame_003361.png,35.63,48.01,6.704,7.066,1.4826,1.4826,1512.77,561.87
3421,frame_003421.png,56.15,66.78,10.865,8.866,0.0,0.0,808.44,200.62
3481,frame_003481.png,34.34,44.88,6.51,6.754,1.4826,1.4826,1435.41,505.53
3541,frame_003541.png,37.3,45.56,6.44,6.776,1.4826,1.4826,1469.21,514.79
3601,frame_003601.png,33.71,42.57,6.176,6.475,2.9652,2.9652,1496.03,516.69
3661,frame_003661.png,44.53,48.9,6.487,6.366,2.9652,2.9652,1390.52,551.01
3721,frame_003721.png,36.45,41.18,5.556,5.911,1.4826,1.4826,1047.7,329.22
3781,frame_003781.png,36.97,41.11,5.774,5.94,1.4826,1.4826,1110.94,327.18
3841,frame_003841.png,45.89,51.4,6.654,5.985,1.4826,1.4826,1030.05,327.65
3901,frame_003901.png,57.91,54.99,6.713,5.47,1.4826,1.4826,495.81,288.33
3961,frame_003961.png,46.84,53.09,7.965,6.976,1.4826,1.4826,645.07,118.62
4021,frame_004021.png,48.17,54.86,7.319,6.639,1.4826,1.4826,692.67,149.46
4081,frame_004081.png,47.52,56.25,7.992,7.194,1.4826,1.4826,745.76,176.48
4141,frame_004141.png,50.16,52.33,7.078,6.826,1.4826,1.4826,672.24,140.28
4201,frame_004201.png,53.68,52.2,6.388,5.571,1.4826,1.4826,675.8,314.5
4261,frame_004261.png,42.21,45.33,5.741,5.754,1.4826,1.4826,893.17,238.69
4321,frame_004321.png,37.23,39.65,6.042,5.593,1.4826,1.4826,863.43,256.08
4381,frame_004381.png,95.71,109.7,22.417,29.095,0.0,0.0,482.23,12.91
4441,frame_004441.png,54.16,55.47,6.918,6.343,1.4826,1.4826,526.41,205.04
4501,frame_004501.png,35.69,40.66,5.31,5.177,2.9652,1.4826,759.44,179.73
4561,frame_004561.png,26.41,30.79,4.766,4.431,2.9652,2.9652,850.88,219.97
4621,frame_004621.png,74.28,75.58,9.889,7.936,0.0,0.0,320.84,145.75
4681,frame_004681.png,35.71,44.84,6.063,6.197,2.9652,1.4826,747.62,169.66
4741,frame_004741.png,30.54,36.76,5.385,5.658,2.9652,2.9652,801.96,190.98
4801,frame_004801.png,44.59,52.94,5.903,5.631,1.4826,1.4826,901.04,257.92
4861,frame_004861.png,45.47,55.51,7.633,6.719,1.4826,1.4826,997.72,303.13
4921,frame_004921.png,36.84,40.24,6.021,5.742,1.4826,1.4826,2299.59,984.75
4981,frame_004981.png,41.71,45.3,6.394,5.247,2.9652,2.9652,1188.35,489.09
5041,frame_005041.png,35.36,37.67,4.642,4.323,4.4477,4.4477,1533.85,644.63
5101,frame_005101.png,46.53,52.47,7.039,6.56,1.4826,1.4826,1049.78,372.71
5161,frame_005161.png,46.92,57.65,8.158,7.9,1.4826,1.4826,925.91,248.95
5221,frame_005221.png,42.33,53.63,7.33,7.048,1.4826,1.4826,958.94,241.38
5281,frame_005281.png,40.93,51.85,6.998,6.807,1.4826,1.4826,925.82,253.35
5341,frame_005341.png,31.83,45.75,5.771,5.616,2.9652,1.4826,871.76,244.86
5401,frame_005401.png,34.25,40.87,4.758,4.792,2.9652,1.4826,898.47,258.25
5461,frame_005461.png,59.14,66.5,8.765,7.642,1.4826,1.4826,914.48,250.65
5521,frame_005521.png,53.19,65.59,8.574,8.015,1.4826,1.4826,985.02,285.84
5581,frame_005581.png,49.45,37.28,6.48,4.952,14.8258,13.3432,2386.99,1270.6
5641,frame_005641.png,61.69,67.73,8.675,7.293,2.9652,2.9652,885.74,438.2
5701,frame_005701.png,46.84,41.6,8.193,5.758,7.4129,7.4129,1430.13,706.86
5761,frame_005761.png,77.53,82.45,11.049,7.132,1.4826,2.9652,1080.69,552.21
5821,frame_005821.png,51.26,57.54,7.761,6.33,2.9652,2.9652,1001.04,409.09
5881,frame_005881.png,38.74,49.86,5.872,4.892,2.9652,2.9652,1159.17,442.64
5941,frame_005941.png,80.8,73.31,10.079,7.082,10.3781,10.3781,3035.48,1766.48
6001,frame_006001.png,36.08,34.74,5.373,4.801,2.9652,2.9652,1579.14,732.14
6061,frame_006061.png,93.66,106.78,22.165,28.608,0.0,0.0,422.65,5.32
6121,frame_006121.png,50.39,51.6,7.297,6.414,1.4826,1.4826,950.63,377.93
6181,frame_006181.png,36.5,41.66,5.059,5.492,2.9652,2.9652,1615.46,570.5
6241,frame_006241.png,58.86,59.19,6.81,5.601,1.4826,1.4826,897.33,463.71
6301,frame_006301.png,44.79,54.01,6.917,5.722,1.4826,1.4826,1273.54,402.39
6361,frame_006361.png,43.46,47.89,5.593,5.564,1.4826,1.4826,1281.17,462.36
6421,frame_006421.png,38.43,44.03,4.994,4.894,2.9652,1.4826,2238.5,853.4
6481,frame_006481.png,45.83,51.91,6.494,5.963,1.4826,1.4826,1546.75,682.15
6541,frame_006541.png,61.16,73.05,8.256,7.905,1.4826,1.4826,1758.62,829.86
6601,frame_006601.png,52.98,69.64,9.091,8.65,1.4826,1.4826,2192.98,865.3
6661,frame_006661.png,68.8,80.25,5.553,7.041,0.0,0.0,2461.33,928.67
6721,frame_006721.png,67.73,79.58,5.427,6.359,0.0,0.0,2495.16,941.95
6781,frame_006781.png,61.99,71.6,5.153,5.587,0.0,0.0,2468.33,949.74
6841,frame_006841.png,46.35,49.41,5.481,5.167,1.4826,1.4826,1473.05,677.86
6901,frame_006901.png,65.84,77.16,5.258,6.241,0.0,0.0,2587.34,1012.42
6961,frame_006961.png,67.75,78.75,4.47,5.346,0.0,0.0,2627.88,982.53
7021,frame_007021.png,67.36,80.13,6.781,5.892,0.0,0.0,2718.52,1048.98
7081,frame_007081.png,68.5,81.71,6.6,6.149,0.0,0.0,2738.08,1038.21
7141,frame_007141.png,68.71,81.58,6.254,6.002,0.0,0.0,2705.12,1022.84
7201,frame_007201.png,72.29,85.06,7.124,6.774,0.0,0.0,2665.7,1041.75
7261,frame_007261.png,71.86,86.01,6.827,6.405,0.0,0.0,2704.77,1044.59
7321,frame_007321.png,73.15,87.46,7.217,6.824,0.0,0.0,2718.72,1047.81
7381,frame_007381.png,73.97,88.27,7.388,7.36,0.0,0.0,2711.75,1046.21
7441,frame_007441.png,70.83,83.73,6.029,5.957,0.0,0.0,2716.52,1046.08
7501,frame_007501.png,71.55,85.25,6.068,6.083,0.0,0.0,2751.46,1047.57
7561,frame_007561.png,72.33,85.91,6.471,6.814,0.0,0.0,2738.9,1046.04
7621,frame_007621.png,71.91,85.41,6.376,6.398,0.0,0.0,2702.7,1046.3
7681,frame_007681.png,72.22,85.9,6.28,6.332,0.0,0.0,2707.02,1041.23
